Name,URL,Image,Kinds,Summary,Description
365 Training (プレビュー),https://learn.microsoft.com/ja-jp/connectors/365training/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/365training/icon.png,Action,マイ コースの一覧表示,お客様が登録したコースと進捗状況を一覧表示します。
365 Training (プレビュー),https://learn.microsoft.com/ja-jp/connectors/365training/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/365training/icon.png,Action,ユーザー プロファイルの取得,ユーザー プロファイル情報を取得します。
365 Training (プレビュー),https://learn.microsoft.com/ja-jp/connectors/365training/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/365training/icon.png,Action,検索,コース カタログと関連するコミュニティ コンテンツを検索します。
365 Training (プレビュー),https://learn.microsoft.com/ja-jp/connectors/365training/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/365training/icon.png,Trigger,新しいアイデアが作成されるとき,コミュニティによって新しいアイデアが追加されたときに通知を受け取ります。
365 Training (プレビュー),https://learn.microsoft.com/ja-jp/connectors/365training/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/365training/icon.png,Trigger,新しいコースが公開されたとき,新しいコースが学習プラットフォームで公開されたときに通知を受け取ります。
Abortion Policy (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/abortionpolicyapiip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1595/1.0.1595.2986/abortionpolicyapiip/icon.png,Action,州ごとの妊娠制限を取得する,妊娠制限、つまり妊娠のある週以降の中絶の禁止に関連した中絶へのアクセスの制限を州ごとに返します。
Abortion Policy (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/abortionpolicyapiip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1595/1.0.1595.2986/abortionpolicyapiip/icon.png,Action,州ごとの待機期間情報を取得する,中絶のカウンセリングを受けた後、中絶の治療を受けるまでに待たなければならない期間に関する中絶の制限を取得します。
Abortion Policy (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/abortionpolicyapiip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1595/1.0.1595.2986/abortionpolicyapiip/icon.png,Action,州ごとの未成年者情報を取得する,未成年者を特に対象とした人工妊娠中絶の制限を取得します。
Abortion Policy (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/abortionpolicyapiip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1595/1.0.1595.2986/abortionpolicyapiip/icon.png,Action,郵便番号ごとの保険加入状況,この表は、特にどのような種類の保険で中絶をカバーできるかを制限している中絶制限を対象としています (メディケイドと民間保険の両方)。
Abortion Policy (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/abortionpolicyapiip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1595/1.0.1595.2986/abortionpolicyapiip/icon.png,Action,郵便番号ごとの妊娠制限を取得する,妊娠制限、つまり妊娠のある週以降の中絶の禁止に関連した中絶へのアクセスの制限を郵便番号ごとに返します。
Abortion Policy (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/abortionpolicyapiip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1595/1.0.1595.2986/abortionpolicyapiip/icon.png,Action,郵便番号ごとの待機期間情報を取得する,中絶のカウンセリングを受けた後、中絶の治療を受けるまでに待たなければならない期間に関する中絶の制限を取得します。
Abortion Policy (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/abortionpolicyapiip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1595/1.0.1595.2986/abortionpolicyapiip/icon.png,Action,郵便番号ごとの未成年者情報を取得する,未成年者を特に対象とした人工妊娠中絶の制限を取得します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,1 時間ごとの予測を取得する,特定の場所の以降の時間の予測データを返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,10 日間の気象警報を取得,特定の場所の 10 日間の気象アラームを返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,15 日間の気象警報を取得する,特定の場所の 15 日間の気象アラームを返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,5 日間の気象警報を取得,特定の場所の 5 日間の気象アラームを返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,IP アドレスで場所を検索,IP アドレスで特定の場所に関する情報が返されます。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,インデックス グループの一覧を取得する,インデックス グループすべてのメタデータを返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,インデックスすべての毎日のインデックス値を取得する,インデックスすべての毎日のインデックス データを場所キーで返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,インデックスのグループの毎日のインデックス値を取得する,特定のインデックス グループの毎日のインデックス データを場所キーで返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,オートコンプリート検索 (都市),検索テキストのオートコンプリートに一致する場所に関する基本情報を返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,リージョンの一覧を取得する,すべてのリージョンに関する基本情報を返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,レーダーと衛星画像を取得する,ロケーション キーごとにレーダーおよび衛星画像へのリンクを返します。 画像の検索には、場所キーが必要です。 Locations API を使用して、目的の場所の場所キーを取得してください。 現時点では、レーダー画像は世界中のすべての場所で利用できるわけではありません。 レーダーが目的の場所で利用できない場合でも、衛星画像は提供されます。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,ロケーション キーでアラートを取得,特定の場所のアラート データを返します。 アラートの検索には、場所キーが必要です。 Locations API を使用して、目的の場所の場所キーを取得してください。 規定では、アラート データの切り捨てられたバージョンが返されます。 完全なオブジェクトは、「details = true」で取得できます。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,上位都市の一覧を取得する,世界の上位 50、100、150 の都市の情報を返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,上位都市の現在の状態を取得する,ランクに基づいて、世界の上位 50、100、150 の都市の現在の状態データを返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,使用可能な翻訳グループのリスト,翻訳可能な語句のグループを一覧表示します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,全言語のリスト,すべての言語のメタデータを返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,国の一覧を取得する,指定されたリージョン内のすべての国に関する基本情報を返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,地理位置検索 (緯度と経度),特定の場所に関する情報を GeoPosition (緯度と経度) で返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,場所キーによる検索,特定の場所に関する情報を場所キーで返します。 このクエリを実行するには、場所キーを知っている必要があります。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,日別予測を取得する,特定の場所の毎日の予測データを返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,毎日のインデックスの一覧を取得する,毎日のインデックスすべてのメタデータを返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,特定のインデックスの毎日のインデックス値を取得する,特定のインデックスの毎日のインデックス データを場所キーで返します。 毎日のインデックス データすべてを取得できるわけではありません。(https://developer.accuweather.com/list-available-daily-indices) を確認
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,特定のグループのインデックスの一覧を取得する,指定されたグループ内のすべてのインデックスのメタデータを返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,特定のグループの翻訳を一覧表示します,特定のグループのすべての翻訳済み語句を目的の言語で返します。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,現在の状態の履歴を取得する (過去 24 時間),特定の場所の現在の状態データの履歴を返します。 現在の状態の検索には、場所キーが必要です。 Locations API を使用して、目的の場所の場所キーを取得してください。 規定では、現在の状態データの切り捨てられたバージョンが返されます。 完全なオブジェクトは、「details = true」を URL 文字列に渡すことで取得できます。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,現在の状態の履歴を取得する (過去 6 時間),特定の場所の現在の状態データの履歴を返します。 現在の状態の検索には、場所キーが必要です。 Locations API を使用して、目的の場所の場所キーを取得してください。 規定では、現在の状態データの切り捨てられたバージョンが返されます。 完全なオブジェクトは、「details = true」を URL 文字列に渡すことで取得できます。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,現在の状態を取得する,特定の場所の現在の状態データを返します。 現在の状態の検索には、場所キーが必要です。 Locations API を使用して、目的の場所の場所キーを取得してください。 規定では、現在の状態データの切り捨てられたバージョンが返されます。 完全なオブジェクトは、「details = true」を URL 文字列に渡すことで取得できます。
AccuWeather (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/accuweatherip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1584/1.0.1584.2880/accuweatherip/icon.png,Action,管理領域リストを取得する,指定した国の管理領域に関する基本情報を返します。
Act! (プレビュー),https://learn.microsoft.com/ja-jp/connectors/act/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/act/icon.png,Action,氏名,連絡先の氏名 (姓名)。
Acumatica (プレビュー),https://learn.microsoft.com/ja-jp/connectors/acumatica/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/acumatica/icon.png,Action,CaseID を使用してサポート案件情報を取得する,サポート案件 CD {例: 090021）
Acumatica (プレビュー),https://learn.microsoft.com/ja-jp/connectors/acumatica/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/acumatica/icon.png,Action,CustomerID を使用して顧客を削除する,顧客 ID (例: ABARTENDE)
Acumatica (プレビュー),https://learn.microsoft.com/ja-jp/connectors/acumatica/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/acumatica/icon.png,Action,CustomerID を使用して顧客情報を取得する,顧客 ID (例: ABARTENDE)
Acumatica (プレビュー),https://learn.microsoft.com/ja-jp/connectors/acumatica/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/acumatica/icon.png,Action,OpportunityID を使用して営業案件を削除する,営業案件 ID (例: SmallOpptNbr)
Acumatica (プレビュー),https://learn.microsoft.com/ja-jp/connectors/acumatica/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/acumatica/icon.png,Action,OpportunityID を使用して営業案件情報を取得する,営業案件 ID (例: BigOpptNbr)
Acumatica (プレビュー),https://learn.microsoft.com/ja-jp/connectors/acumatica/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/acumatica/icon.png,Action,指定した条件を満たすサポート案件の一覧を取得する,フィルター (例: field1 eq 'value')
Acumatica (プレビュー),https://learn.microsoft.com/ja-jp/connectors/acumatica/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/acumatica/icon.png,Action,指定した条件を満たす営業案件の一覧を取得する,フィルター (例: field1 eq 'value')
Acumatica (プレビュー),https://learn.microsoft.com/ja-jp/connectors/acumatica/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/acumatica/icon.png,Action,指定した条件を満たす顧客の一覧を取得する,フィルター (例: field1 eq 'value')
Acumatica (プレビュー),https://learn.microsoft.com/ja-jp/connectors/acumatica/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/acumatica/icon.png,Action,既存のサポート案件を作成するか更新する,承認
Acumatica (プレビュー),https://learn.microsoft.com/ja-jp/connectors/acumatica/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/acumatica/icon.png,Action,既存の営業案件を作成するか更新する,承認
Acumatica (プレビュー),https://learn.microsoft.com/ja-jp/connectors/acumatica/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/acumatica/icon.png,Action,既存の顧客を作成するか更新する,承認
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,すべてのライブラリ テンプレートの一覧を取得する (旧) [非推奨],この操作を実行すると、テンプレートとして保存されているすべてのドキュメントのリストが、ユーザーの Adobe Acrobat Sign ライブラリでフェッチされます。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,すべての契約のリストを取得します,この操作を実行すると、ユーザーのすべての契約のリストが取得されます。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,すべての契約の一覧を取得する (旧) [非推奨],この操作を実行すると、ユーザーのすべての契約のリストが取得されます。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,アップロードされたドキュメントからライブラリ テンプレートを作成します,この操作により、アップロードされたドキュメントから Adobe Acrobat Sign ライブラリでテンプレートが作成されます。 このテンプレートを使用して契約を送信します。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,アップロードされたドキュメントからライブラリ テンプレートを作成する (旧) [非推奨],この操作により、アップロードされたドキュメントから Adobe Acrobat Sign ライブラリでテンプレートが作成されます。 このテンプレートを使用して契約を送信します。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,アップロードされたドキュメントから契約を作成し、署名用に送信します,この操作により、Adobe Acrobat Sign にアップロードされたドキュメントから契約が作成され、署名用に送信されます。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,アップロードされたドキュメントから契約を作成して、署名用に送信する (旧) [非推奨],この操作により、Adobe Acrobat Sign にアップロードされたドキュメントから契約が作成され、署名用に送信されます。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,ドキュメント URL からライブラリ テンプレートを作成します,この操作により、ドキュメント URL から Adobe Acrobat Sign ライブラリでテンプレートが作成されます。 このテンプレートを使用して契約を送信します
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,ドキュメント URL から契約を作成し、署名用に送信します,この操作により、Adobe Acrobat Sign にアップロードされたドキュメントから契約が作成され、署名用に送信されます。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,ドキュメントの URL からライブラリ テンプレートを作成する (旧) [非推奨],この操作により、ドキュメント URL から Adobe Acrobat Sign ライブラリでテンプレートが作成されます。 このテンプレートを使用して契約を送信します
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,ドキュメントの URL から契約を作成して、署名用に送信する (旧) [非推奨],この操作により、Adobe Acrobat Sign にアップロードされたドキュメントから契約が作成され、署名用に送信されます。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,ドキュメントをアップロードして、ドキュメント ID を取得する (旧) [非推奨],この操作により、Adobe Acrobat Sign アカウントにドキュメントがアップロードされ、そのドキュメント ID を返します。 このドキュメントは一時的に Adobe Acrobat Sign に保存され、契約の作成などの他の操作にドキュメント ID を使用することができます。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,ドキュメントをアップロードしてドキュメント ID を取得します,この操作により、Adobe Acrobat Sign アカウントにドキュメントがアップロードされ、そのドキュメント ID を返します。 このドキュメントは一時的に Adobe Acrobat Sign に保存され、契約の作成などの他の操作にドキュメント ID を使用することができます。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,ライブラリ テンプレートから契約を作成し、署名用に送信します,この操作により、ユーザーの Adobe Acrobat Sign ライブラリに保存されているテンプレートから契約が作成され、署名用に送信されます。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,ライブラリ テンプレートから契約を作成して、署名用に送信する (旧) [非推奨],この操作により、ユーザーの Adobe Acrobat Sign ライブラリに保存されているテンプレートから契約が作成され、署名用に送信されます。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,契約からすべてのドキュメント ID の一覧を取得する,この操作では、契約のすべてのドキュメントとサポート ドキュメントの ID をフェッチします。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,契約からすべてのドキュメント ID の一覧を取得する [非推奨],このアクションは非推奨になりました。 代わりに、契約からすべてのドキュメント ID の一覧を取得する を使用してください。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,契約からドキュメントを取得する,この操作では、契約の特定のドキュメントのファイル ストリームをフェッチします。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,契約からドキュメントを取得する [非推奨],このアクションは非推奨になりました。 代わりに、契約からドキュメントを取得する を使用してください。
Adobe Acrobat Sign,https://learn.microsoft.com/ja-jp/connectors/adobesign/,https://connectoricons-prod.azureedge.net/releases/v1.0.1591/1.0.1591.2961/adobesign/icon.png,Action,契約のフォーム フィールド データを CSV 形式で取得する,契約の対話型フォーム フィールドに入力されたデータを取得します。
